Peak (ms),Timestamp (ms),Est Tau (ms),Rise Time (ms),Rise Rate (pA/ms),Amplitude (pA),Fit Amplitude (pA),Fit Tau (ms),Amp Offset (pA),Start (ms),IEI (ms),Acquisition,Holding Current (pA)
9105.1,19105.1,3.599462441582,3.0,3.0502609373432854,9.150782812029856,-6.891660704637758,1.911460849070155,1.1148190524707822,91000,124.69999999999891,2,-44.403797399657776
9229.8,19229.8,5.656948148533411,1.7,4.6129469499775535,7.842009814961841,-9.656884404660094,5.282420288392448,1.494530674165599,92255,139.70000000000073,2,-44.403797399657776
9369.5,19369.5,2.187917685888533,1.4,49.97758738699713,69.96862234179598,-59.75588286119647,1.2901482794574985,-7.625555942577425,93652,15.600000000000364,2,-44.403797399657776
9385.1,19385.1,2.044628362711228,1.4,40.43313194226867,56.606384719176134,-43.047290096423616,2.180671089748112,-1.1738469832990237,93807,79.60000000000036,2,-44.403797399657776
9464.7,19464.7,1.4209956641760073,2.3,3.272018406710699,7.525642335434608,-8.20128616769525,0.8818041963812815,1.8419060736843411,94601,77.89999999999964,2,-44.403797399657776
9542.6,19542.6,4.676184503099648,3.0,5.541601841151468,16.624805523454402,-18.786610773363112,4.188302172590056,1.7773395587001632,95374,68.89999999999964,2,-44.403797399657776
9611.5,19611.5,3.398097082282766,1.9,7.472120274027798,14.197028520652816,-13.149939733934891,3.5625371115443505,2.3049993581498383,96071,156.79999999999927,2,-44.403797399657776
9768.3,19768.3,6.7853479541649,4.0,1.7991971381637606,7.196788552655042,-7.434611744220544,6.895840746001826,1.054290500300824,97643,34.0,2,-44.403797399657776
9802.3,19802.3,2.9225538984217563,2.1,11.537015370700646,24.227732278471358,-25.648547707489918,2.519274289334019,1.2350278920961923,97978,0.0,2,-44.403797399657776
96.1,20096.1,1.4030662093350315,1.5,18.273786949681277,27.410680424521917,-24.995256874172394,1.5331764002318038,-0.7908277523338774,917,37.900000000000006,3,-43.38750756577368
134.0,20134.0,1.8784334347505365,1.5,5.751557761071694,8.62733664160754,-12.491374219462296,2.6840681551158974,0.5571562013276551,1298,49.099999999999994,3,-43.38750756577368
183.1,20183.1,1.197096013679129,6.1,0.9457736533361575,5.769219285350561,-4.993869402674285,0.5408536581758607,0.07685120258623403,1744,118.9,3,-43.38750756577368
302.0,20302.0,1.9071241412397284,1.5,44.74667363213007,67.1200104481951,-63.843693090427706,1.888431007440844,-0.6120436787902267,2977,81.5,3,-43.38750756577368
383.5,20383.5,0.9040486701027476,1.5,2.7712461272050333,4.15686919080755,-4.609324321771675,0.7902838191545088,-0.4303099532664965,3790,99.60000000000002,3,-43.38750756577368
483.1,20483.1,2.1140675316496527,1.7,20.761282343915468,35.294179984656296,-33.084981018358626,1.2215668938717268,-3.446688843789413,4787,23.69999999999999,3,-43.38750756577368
506.8,20506.8,4.495063611825026,1.8,11.693756646489085,21.048761963680352,-18.81240647573338,2.639581798182869,-3.5198446435813784,5025,17.19999999999999,3,-43.38750756577368
524.0,20524.0,1.6943053051420975,1.3,13.485829902451922,17.5315788731875,-17.704628233276736,2.368870112135833,0.6141742291158055,5197,122.29999999999995,3,-43.38750756577368
646.3,20646.3,1.8752295059859534,1.5,22.719270327434703,34.07890549115206,-32.16309422733126,1.6717597543167626,0.7890739979925282,6420,96.30000000000007,3,-43.38750756577368
